"Etapa
",Nombre fotografia,CPC DANE Ver. 2.1 A.C,Categoría,Subcategoría,Producto,Unidad de medida DANE,Errores_detectados
"Adicionado 11 Ago Identificado de lista de analisis de precio, pero sin imagen",,0112905,Hortalizas,Inflorescencias,Coliflor morada,Kilogramo,
"Adicionado 11 Ago Identificado de lista de analisis de precio, pero sin imagen",,0112905,Hortalizas,Inflorescencias,Coliflor romanesca,Kilogramo,
Lista original con imagen,Papa criolla Libra o Kilo,0113201,Hortalizas,Papa,Papa,Kilogramo,
Lista original con imagen,Papa capira Libra o Kilo,0113201,Hortalizas,Papa,Papa capira,Kilogramo,
Lista original con imagen,Papa criolla Libra o Kilo,0113201,Hortalizas,Papa,Papa criolla,Kilogramo,
Lista original con imagen,Papa nevada Libra o Kilo,0113201,Hortalizas,Papa,Papa nevada,Kilogramo,
"Identificado de lista de analisis de precio, pero sin imagen",Pimenton rojo Libra o Kilo,0112401,Hortalizas,Pimentones,Pimenton,Kilogramo,
Lista original con imagen,Pimenton Amarillo Libra o Kilo,0112401,Hortalizas,Pimentones,Pimentón amarillo,Kilogramo,
Lista original con imagen,Pimenton rojo Libra o Kilo,0112401,Hortalizas,Pimentones,Pimentón rojo,Kilogramo,
Lista original con imagen,Pimiento morron Libra o Kilo,0112401,Hortalizas,Pimentones,Pimiento morrón,Kilogramo,
Lista original con imagen,Arracacha Libra O Kilo,0113101,Hortalizas,Raíces y tubérculos,Arracacha,Kilogramo,
Lista original con imagen,Batata Libra o kilo,0113102,Hortalizas,Raíces y tubérculos,Batata,Kilogramo,
Lista original con imagen,Name criollo Libra o Kilo,0113103,Hortalizas,Raíces y tubérculos,Ñame criollo,Kilogramo,
Lista original con imagen,Name diamante Libra o Kilo,0113103,Hortalizas,Raíces y tubérculos,Ñame diamante,Kilogramo,
Lista original con imagen,Name morado Libra o kilo,0113103,Hortalizas,Raíces y tubérculos,Ñame morado,Kilogramo,
Lista original con imagen,Rábano Libra o Kllo,0113302,Hortalizas,Raíces y tubérculos,Rábano,Kilogramo,
Lista original con imagen,Remolacha Libra o Kilo,0113303,Hortalizas,Raíces y tubérculos,Remolacha,Kilogramo,
Lista original con imagen,Yuca 1 Libra o Kilo,0113401,Hortalizas,Raíces y tubérculos,Yuca,Kilogramo,
Lista original con imagen,Zanahoria Libra o Kilo,0113501,Hortalizas,Raíces y tubérculos,Zanahoria,Kilogramo,
"Adicionado 11 Ago Identificado de lista de analisis de precio, pero sin imagen",,0113501,Hortalizas,Raíces y tubérculos,Zanahoria baby,Kilogramo,
Lista original con imagen,Apio 1 Libra O kilo,0112305,Hortalizas,Tallos,Apio,Kilogramo,
"Adicionado 11 Ago Identificado de lista de analisis de precio, pero sin imagen",,0112409,Hortalizas,Tallos,Espárragos,Kilogramo,
Lista original con imagen,Puerros Libra o Kilo,0112310,Hortalizas,Tallos,Puerros,Kilogramo,
Lista original con imagen,Tomate morado( tomoro) Libra o kilo,0112901,Hortalizas,Tomates,Tomate,Kilogramo,
Lista original con imagen,,0112902,Hortalizas,Tomates,Tomate cherry amarillo,Kilogramo,
"Adicionado 11 Ago Identificado de lista de analisis de precio, pero sin imagen",,0112902,Hortalizas,Tomates,Tomate cherry rojo,Kilogramo,
Lista original con imagen,Tomate chonto 1 Libra o Kilo,0112901,Hortalizas,Tomates,Tomate chonto,Kilogramo,
Lista original con imagen,,0112901,Hortalizas,Tomates,Tomate de mesa,Kilogramo,
"Adicionado 11 Ago Identificado de lista de analisis de precio, pero sin imagen",,0112903,Hortalizas,Tomates,Tomate uvalina amarillo,Kilogramo,
"Adicionado 11 Ago Identificado de lista de analisis de precio, pero sin imagen",,0112903,Hortalizas,Tomates,Tomate uvalina rojo,Kilogramo,
"Identificado de lista de analisis de precio, pero sin imagen",,0211101,Huevos,Gallina,Huevo A,Unidad, 
"Identificado de lista de analisis de precio, pero sin imagen",,0211101,Huevos,Gallina,Huevo AA,Unidad, 
Lista original con imagen,"Huevo criollo Scop 17.000 media Canasta, Canasta completa $Cop 30.000",0211101,Huevos,Gallina,Huevo criollo,Unidad, 
"Identificado de lista de analisis de precio, pero sin imagen",,0211101,Huevos,Gallina,Huevo Extra,Unidad, 
"Identificado de lista de analisis de precio, pero sin imagen",,0211101,Huevos,Gallina,Huevo gallina Grana Feliz,Unidad,
"Identificado de lista de analisis de precio, pero sin imagen",,0211101,Huevos,Gallina,Huevo gallina tamaño A,Unidad,
"Identificado de lista de analisis de precio, pero sin imagen",,0211101,Huevos,Gallina,Huevo gallina tamaño AA,Unidad,
"Identificado de lista de analisis de precio, pero sin imagen",,0211101,Huevos,Gallina,Huevo gallina tamaño Extra,Unidad,
"Identificado de lista de analisis de precio, pero sin imagen",,0211101,Huevos,Gallina,Huevo gallina tamaño Jumbo,Unidad,
Lista original con imagen,,0211101,Huevos,Gallina,Huevo individual,Unidad,
Lista original con imagen,Cuajada Libra,2140201,Lácteos,Derivados frescos,Cuajada,Kilogramo,
Lista original con imagen,,2140301,Lácteos,Mantequillas,Mantequilla de vaca,Kilogramo,
Lista original con imagen,Quesito SCop 14.000 Libra,2140202,Lácteos,Quesos frescos,Quesito,Kilogramo,
"Identificado de lista de analisis de precio, pero sin imagen",,2140101,Lácteos,Quesos frescos,Queso Costeño,Kilogramo,
Lista original con imagen,Queso siete cueros $Cop 14.500 220 gramos,2140401,Lácteos,Quesos maduros,Queso siete cueros,Kilogramo,
Lista original con imagen,Arvejas Libra o kilo,0113601,Leguminosas,Arveja,Arveja,Kilogramo,
Lista original con imagen,Frijol blanco costeño Libra o Kilo,0114603,Leguminosas,Fríjol,Fríjol blanco costeño,Kilogramo,
Lista original con imagen,Frijol cargamanto Ilbra o kilo,0114601,Leguminosas,Fríjol,Fríjol Cargamanto,Kilogramo,
"Identificado de lista de analisis de precio, pero sin imagen",,0114601,Leguminosas,Fríjol,Fríjol Cargamanto blanco,Kilogramo, 
"Identificado de lista de analisis de precio, pero sin imagen",,0114602,Leguminosas,Fríjol,Fríjol Cargamanto rojo,Kilogramo,
Lista original con imagen,Frijol negro Libra o Kilo,0114604,Leguminosas,Fríjol,Fríjol negro,Kilogramo,
Lista original con imagen,Frijol rojo Libra o kllo,0114602,Leguminosas,Fríjol,Fríjol rojo,Kilogramo,
Lista original con imagen,Frijol verde libra o kilo,0114605,Leguminosas,Fríjol,Fríjol verde,Kilogramo,
Lista original con imagen,Gandules libra o kilo,0114702,Leguminosas,Gandules,Gandules,Kilogramo,
"Identificado de lista de analisis de precio, pero sin imagen",,0114701,Leguminosas,Garbanzo,Garbanzo,Kilogramo,
Lista original con imagen,Habichuela Libra o Kilo,0113701,Leguminosas,Habichuela,Habichuela,Kilogramo,
"Adicionado 11 Ago Identificado de lista de analisis de precio, pero sin imagen",,0113702,Leguminosas,Habichuela,Habichuelina,Kilogramo,
"Adicionado 11 Ago Identificado de lista de analisis de precio, pero sin imagen",,0113702,Leguminosas,Habichuela,Habichuelina de colores,Kilogramo,
"Identificado de lista de analisis de precio, pero sin imagen",,0114801,Leguminosas,Lenteja,Lenteja,Kilogramo,
Lista original con imagen,"Carbon activo Gramo, Libra; kilo",0399101,Otros productos,Carbón activado,Carbón activo,Kilogramo,
Lista original con imagen,Arepa de Chocolo dulce Paquete de 5 unidades,2411102,Panadería,Arepas,Arepa de chocolo dulce,Unidad,
Lista original con imagen,Arepa de Maíz para rellenar Paquete de 6 unidades,2411102,Panadería,Arepas,Arepa de maíz para rellenar,Unidad,
Lista original con imagen,Arepa de Platano Maduro Paquete de 5 unidades,2411102,Panadería,Arepas,Arepa de plátano maduro,Unidad,
Lista original con imagen,Arepa de yuca y queso Paquete de 5 Unidades,2411102,Panadería,Arepas,Arepa de yuca y queso,Unidad,
Lista original con imagen,,2411102,Panadería,Arepas,Arepa plancha de queso,Unidad,
Lista original con imagen,Arepa triple queso unidad,2411102,Panadería,Arepas,Arepa triple queso,Unidad,
Lista original con imagen,,2411102,Panadería,Arepas,Torre de arepas x 25 unidades,Unidad,
Lista original con imagen,,2411102,Panadería,Arepas rellenas,Almoarepa (Arepa rellena de queso mozarela),Unidad,
"Identificado de lista de analisis de precio, pero sin imagen",Camaron Libra,2123101,Pesca,Crustáceos,Camarón,Kilogramo, 
Lista original con imagen,Langosta Libra,2123102,Pesca,Crustáceos,Langosta,Kilogramo,
Lista original con imagen,,2123103,Pesca,Crustáceos,Langostino,Kilogramo,
"Identificado de lista de analisis de precio, pero sin imagen",,2121101,Pesca,Filetes de pescado,Filete de basa,Kilogramo,
"Identificado de lista de analisis de precio, pero sin imagen",,2122102,Pesca,Pescado de agua dulce,Bagre Rayado,Kilogramo,
"Identificado de lista de analisis de precio, pero sin imagen",Cachama Libra,2122103,Pesca,Pescado de agua dulce,Cachama,Kilogramo,
"Identificado de lista de analisis de precio, pero sin imagen",Tilapia Negra SCop 9.000 Libra,2122201,Pesca,Pescado de agua dulce,Tilapia,Kilogramo,
Lista original con imagen,Pescado seco del Amazonas SCop 20.000 libra,2122101,Pesca,Pescado seco,Pescado seco del Amazonas,Kilogramo,
Lista original con imagen,Bagre de rio Libra,2122101,Pesca,Pescados de agua dulce,Bagre de río,Kilogramo,
"Identificado de lista de analisis de precio, pero sin imagen",,2122101,Pesca,Pescados de agua dulce,Bagre importado,Kilogramo,
Lista original con imagen,Cachama Libra,2122103,Pesca,Pescados de agua dulce,Cachama,Kilogramo,
Lista original con imagen,Tilapia Negra SCop 9.000 Libra,2122201,Pesca,Pescados de agua dulce,Tilapia negra,Kilogramo,
Lista original con imagen,Tilapia roja Scop 9.000 por libra,2122201,Pesca,Pescados de agua dulce,Tilapia roja,Kilogramo,
"Identificado de lista de analisis de precio, pero sin imagen",,2121101,Pesca,Pescados marinos,Filete de basa,Kilogramo,
Lista original con imagen,Pargo Scop 20.000 Libra,2123201,Pesca,Pescados marinos,Pargo,Kilogramo,
Lista original con imagen,Robalo SCop 19.000 Libra,2123201,Pesca,Pescados marinos,Róbalo,Kilogramo,
"Identificado de lista de analisis de precio, pero sin imagen",,2121501,Pesca,Pescados marinos,Salmón,Kilogramo,
Lista original con imagen,Sierra SCop 14.000 libra,2123201,Pesca,Pescados marinos,Sierra,Kilogramo,
"Adicionado 11 Ago Identificado de lista de analisis de precio, pero sin imagen",,0113901,Plantas medicinales,Hierbas secas,Aucacia,Kilogramo,
Lista original con imagen,Eucalipto por Ramo,0113901,Plantas medicinales,Hojas y ramas,Eucalipto,Ramo,
Lista original con imagen,Hiperico por ramo,0113901,Plantas medicinales,Hojas y ramas,Hipérico,Ramo,
Lista original con imagen,"Calendula Gramo, Libra, Kilo",0113901,Plantas medicinales,Infusiones,Caléndula,Kilogramo,
Lista original con imagen,Coca Sek Unidad,2399999,Plantas medicinales,Infusiones,Coca Sek,Unidad,
Lista original con imagen,Golden Milk Farsco,2399999,Plantas medicinales,Infusiones,Golden Milk,Unidad,
Lista original con imagen,Mambe fresh Unidad,2399999,Plantas medicinales,Infusiones,Mambe fresh,Unidad,
Lista original con imagen,"Manzanilla Gramo, libra kilo",0113901,Plantas medicinales,Infusiones,Manzanilla,Kilogramo,
Lista original con imagen,"Boldo Gramo, Libra; kilo",0113901,Plantas medicinales,Infusiones ,Boldo,Kilogramo,
Lista original con imagen,Hoja de coca Unidad,0113901,Plantas medicinales,Uso cultural,Hoja de coca,Unidad,
"Identificado de lista de analisis de precio, pero sin imagen",Banano Libra o Kilo,0133211,Plátanos,Banano y plátano,Banano,Kilogramo,
"Identificado de lista de analisis de precio, pero sin imagen",,0133211,Plátanos,Banano y plátano,Banano criollo,Kilogramo,
Lista original con imagen,Guineo Libra o Kilo,0133212,Plátanos,Banano y plátano,Guineo,Kilogramo,
Lista original con imagen,Guineo rojo matacura 1 Libra o Kilo,0133212,Plátanos,Banano y plátano,Guineo rojo matacura,Kilogramo,
Lista original con imagen,Murrapo Libra o Kilo,0112804,Plátanos,Banano y plátano,Murrapo,Kilogramo,
"Identificado de lista de analisis de precio, pero sin imagen",Platano harton Libra o Kilo,0113301,Plátanos,Banano y plátano,Plátano,Kilogramo,
"Adicionado 11 Ago Identificado de lista de analisis de precio, pero sin imagen",,0113301,Plátanos,Banano y plátano,Plátano comino,Kilogramo,
"Identificado de lista de analisis de precio, pero sin imagen",,0113301,Plátanos,Banano y plátano,Plátano de Armenia,Kilogramo,
"Identificado de lista de analisis de precio, pero sin imagen",,0113301,Plátanos,Banano y plátano,Plátano de Uraba,Kilogramo,
"Identificado de lista de analisis de precio, pero sin imagen",,0113301,Plátanos,Banano y plátano,Plátano Guineo,Kilogramo,
Lista original con imagen,Platano harton Libra o Kilo,0113301,Plátanos,Banano y plátano,Plátano hartón,Kilogramo,
Lista original con imagen,Platano Maduro Libra o Kilo,0113301,Plátanos,Banano y plátano,Plátano maduro,Kilogramo,
Lista original con imagen,Platano popocho Libra o Kilo,0113301,Plátanos,Banano y plátano,Plátano popocho,Kilogramo,
Lista original con imagen,Platano verde Libra o Kilo,0113301,Plátanos,Banano y plátano,Plátano verde,Kilogramo,
Lista original con imagen,"Quinoa Gramo, libra, kilo",0114901,Pseudocereales,Quinoa,Quinoa,Kilogramo,
Lista original con imagen,"Sal del Himalaya molida Gramo, libra, Kilo",2170101,Sales,Sales,Sal,Kilogramo,
Lista original con imagen,"Sal de cebolla Gramo, libra, kilo",2170102,Sales,Sales especializadas,Sal de cebolla,Kilogramo, 
Lista original con imagen,"Sal de mar gruesa Gramo, libra, kilo",2170101,Sales,Sales especializadas,Sal de mar,Kilogramo, 
Lista original con imagen,"Sal del Himalaya molida Gramo, libra, Kilo",2170103,Sales,Sales especializadas,Sal del Himalaya,Kilogramo, 
Lista original con imagen,Picante de Ají Frasco,2391901,Sales,Sales sazonadas,Picante de ají,Kilogramo,
Lista original con imagen,"Sal de Ajo Gramo, libra, kilo",2170102,Sales,Sales sazonadas,Sal de ajo,Kilogramo,
Lista original con imagen,,2442101,Salsas y vinagres,Vinagres,Vinagre blanco,Kilogramo,
Lista original con imagen,,2442101,Salsas y vinagres,Vinagres,Vinagre de frutas,Kilogramo,
Lista original con imagen,Vinagre de manzana 1 Frasco,2442101,Salsas y vinagres,Vinagres,Vinagre de manzana,Kilogramo,
Lista original con imagen,"Semilla de Amapola Gramo, libra, kilo",0111401,Semillas,Amapola,Semilla de amapola,Kilogramo,
Lista original con imagen,"Semilla de calabaza gramo, libra, kilo",0111501,Semillas,Calabaza,Semilla de calabaza,Kilogramo,
Lista original con imagen,"Semilla de cardamomo Gramo, libra, kilo",0111601,Semillas,Cardamomo,Semilla de cardamomo,Kilogramo,
Lista original con imagen,"Chia Gramo, libra, kilo",0111701,Semillas,Chía,Chía,Kilogramo,
Lista original con imagen,"Chia negra Gramo, Ilbra, kilo",0111701,Semillas,Chía,Chía negra,Kilogramo,
Lista original con imagen,,0111801,Semillas,Girasol,Semilla de girasol,Kilogramo,
Lista original con imagen,"Linaza Gramo,Ilbra, kilo",0111902,Semillas,Linaza,Linaza,Kilogramo,
Lista original con imagen,"Lino Gramo, Libra; kilo",0111903,Semillas,Lino,Lino,Kilogramo,
Lista original con imagen,"Ajonjoli blanco Gramo, libra, kilo",0111301,Semillas oleaginosas,Ajonjolí,Ajonjolí blanco,Kilogramo,
Lista original con imagen,"Ajonjoli negro Gramo, Libra, Kilo",0111301,Semillas oleaginosas,Ajonjolí,Ajonjolí negro,Kilogramo,
Lista original con imagen,Algarroba en polvo Gramo; libra; kilo,2399999,Superalimentos,Harinas vegetales,Algarroba en polvo,Kilogramo,
Lista original con imagen,,2399999,Superalimentos,Harinas vegetales,Harina de coco,Kilogramo,
Lista original con imagen,"Moringa Gramo, libra, kilo",2399999,Superalimentos,Hojas,Moringa,Kilogramo,
Lista original con imagen,"Colageno hidrolizado Gramo, libra, kilo",2399998,Superalimentos,Proteínas,Colageno hidrolizado,Kilogramo,
"Adicionado 11 Ago Identificado de lista de analisis de precio, pero sin imagen",,2399998,Superalimentos,Proteínas,Gelatina sin sabor,Kilogramo,
Lista original con imagen,"Maca Amarilla Gramo, Libra, kilo",2399997,Superalimentos,Raíces,Maca amarilla,Kilogramo,
Lista original con imagen,,2619901,Textiles,Fibras vegetales,Yute 150 cm,Metro,
Lista original con imagen,,2619901,Textiles,Fibras vegetales,Yute 50 cm,Metro,
Lista original con imagen,Ollas de varios tamaños Scop 50.000 a 160.000 unidad,4291101,Utensilios domésticos,Cocina,Olla,Unidad,
Lista original con imagen,"Estropajo Libra, kilo",4291601,Utensilios domésticos,Limpieza,Estropajo,Unidad,
Lista original con imagen,,4291105,Utensilios domésticos,Mesa y servicio,Portavaso,Unidad,
Lista original con imagen,,4299999,Utensilios tradicionales,Contenedores,Batea minera,Unidad,
Lista original con imagen,,4299999,Utensilios tradicionales,Contenedores,Batea normal,Unidad,
